preferred	ensembl	entrez
MPHOSPH8	ENSG00000196199	54737
ANKS6	ENSG00000165138	203286
FBXO32	ENSG00000156804	114907
SCOC	ENSG00000153130	60592
GOLGB1	ENSG00000173230	2804
AC024940.2	ENSG00000243517	ENSG00000243517
MRPL32	ENSG00000106591	64983
PRMT1	ENSG00000126457	3276
TRRAP	ENSG00000196367	8295
REST	ENSG00000084093	5978
ATMIN	ENSG00000166454	23300
XPOTP1	ENSG00000214185	ENSG00000214185
ZCCHC11	ENSG00000134744	23318
ZC3H11B	ENSG00000215817	643136
LOC441155	ENSG00000215817	441155
HID1-AS1	ENSG00000263586	102723641
METTL17	ENSG00000165792	64745
IRF2BP2	ENSG00000168264	359948
PTCD1	ENSG00000106246	26024
MORN1	ENSG00000116151	79906
NDUFB2	ENSG00000090266	4708
LSM8	ENSG00000128534	51691
SLC25A6	ENSG00000169100	293
ZNF202	ENSG00000166261	7753
AC087477.2	ENSG00000259275	ENSG00000259275
NSD3	ENSG00000147548	54904
PPP1R15A	ENSG00000087074	23645
GPR160	ENSG00000173890	26996
ZFAND5	ENSG00000107372	7763
PPIA	ENSG00000196262	5478
AL138724.1	ENSG00000272269	ENSG00000272269
IL2RG	ENSG00000147168	3561
KCTD10	ENSG00000110906	83892
LSP1	ENSG00000130592	4046
CDK16	ENSG00000102225	5127
CCPG1	ENSG00000260916	9236
TMED10	ENSG00000170348	10972
IFNG-AS1	ENSG00000255733	100885789
ENSG00000197825	ENSG00000197825	ENSG00000197825
SIK1	ENSG00000142178	150094
AP005329.2	ENSG00000265399	ENSG00000265399
SEC63	ENSG00000025796	11231
AL355490.2	ENSG00000231970	ENSG00000231970
KAT7	ENSG00000136504	11143
CYP1A2	ENSG00000140505	1544
AP000893.2	ENSG00000254698	ENSG00000254698
C6orf89	ENSG00000198663	221477
USF2	ENSG00000105698	7392
AKT2	ENSG00000105221	208
PLPP5	ENSG00000147535	84513
CD48	ENSG00000117091	962
AL357314.1	ENSG00000178193	ENSG00000178193
CEBPZ	ENSG00000115816	10153
IGHV3-49	ENSG00000211965	ENSG00000211965
RPL10AP6	ENSG00000226360	ENSG00000226360
RGS1	ENSG00000090104	5996
HAUS3	ENSG00000214367	79441
YY1AP1	ENSG00000163374	55249
SNX17	ENSG00000115234	9784
CERS5	ENSG00000139624	91012
MYDGF	ENSG00000074842	56005
AC123768.3	ENSG00000262728	ENSG00000262728
USO1	ENSG00000138768	8615
FER1L5	ENSG00000249715	90342
TRIB2	ENSG00000071575	28951
AC037487.1	ENSG00000265912	ENSG00000265912
AC124312.5	ENSG00000271347	ENSG00000271347
AC026979.2	ENSG00000253708	ENSG00000253708
NOXRED1	ENSG00000165555	122945
LOC101927040	ENSG00000249328	101927040
RN7SL173P	ENSG00000243373	ENSG00000243373
PPIAP42	ENSG00000213592	ENSG00000213592
GK-AS1	ENSG00000243055	ENSG00000243055
LINC02577	ENSG00000228742	ENSG00000228742
WWTR1-AS1	ENSG00000241313	100128025
ADGRF1	ENSG00000153292	266977
AC009120.3	ENSG00000260884	ENSG00000260884
ENSG00000256692	ENSG00000256692	ENSG00000256692
APTR	ENSG00000214293	100505854
MEGF8	ENSG00000105429	1954
UBE2O	ENSG00000175931	63893
GLIPR1L2	ENSG00000180481	144321
AC021016.2	ENSG00000261338	ENSG00000261338
ENSG00000256301	ENSG00000256301	ENSG00000256301
DYNC1I2	ENSG00000077380	1781
ENSG00000256186	ENSG00000256186	ENSG00000256186
RNASEL	ENSG00000135828	6041
PM20D2	ENSG00000146281	135293
EIF4A3	ENSG00000141543	9775
HINT3	ENSG00000111911	135114
DUSP3	ENSG00000108861	1845
MCM6	ENSG00000076003	4175
TMEM52B	ENSG00000165685	120939
MYH10	ENSG00000133026	4628
AC019080.3	ENSG00000271825	ENSG00000271825
P4HB	ENSG00000185624	5034
AL137013.1	ENSG00000232186	ENSG00000232186
PFDN5	ENSG00000123349	5204
AC010883.1	ENSG00000234936	ENSG00000234936
AC023024.1	ENSG00000259172	ENSG00000259172
AC087276.2	ENSG00000254907	ENSG00000254907
ENSG00000246448	ENSG00000246448	ENSG00000246448
KLLN	ENSG00000227268	100144748
AC092634.5	ENSG00000236299	ENSG00000236299
AC008149.1	ENSG00000258177	ENSG00000258177
RN7SL242P	ENSG00000244389	ENSG00000244389
PRR34-AS1	ENSG00000241990	ENSG00000241990
ENSG00000263960	ENSG00000263960	ENSG00000263960
AC005329.1	ENSG00000248015	ENSG00000248015
ENSG00000263493	ENSG00000263493	ENSG00000263493
AC079193.1	ENSG00000244113	ENSG00000244113
DHRSX-IT1	ENSG00000223571	ENSG00000223571
KLF2P4	ENSG00000236516	ENSG00000236516
JHY	ENSG00000109944	79864
AC011979.1	ENSG00000239470	ENSG00000239470
DNMBP-AS1	ENSG00000227695	ENSG00000227695
BNIP3P11	ENSG00000271550	ENSG00000271550
AC012313.8	ENSG00000269473	ENSG00000269473
RN7SL655P	ENSG00000241963	ENSG00000241963
HMGA1P1	ENSG00000236683	ENSG00000236683
RPS4XP13	ENSG00000240371	ENSG00000240371
AC007364.1	ENSG00000231969	ENSG00000231969
AC135178.5	ENSG00000269947	ENSG00000269947
LOC102723701	ENSG00000183154	102723701
MARCKSL1P2	ENSG00000215878	ENSG00000215878
JHDM1D-AS1	ENSG00000260231	100134229
ENSG00000264181	ENSG00000264181	ENSG00000264181
LOC102723373	ENSG00000261804	102723373
AC040977.1	ENSG00000262089	ENSG00000262089
RPL37A	ENSG00000197756	6168
AC133435.1	ENSG00000233597	ENSG00000233597
LOC101929759	ENSG00000246528	101929759
TMEM231	ENSG00000205084	79583
AC097460.2	ENSG00000250403	ENSG00000250403
AL353813.1	ENSG00000240979	ENSG00000240979
RN7SL395P	ENSG00000244307	ENSG00000244307
UGT1A1	ENSG00000241635	54658
SNORD108	ENSG00000239014	338427
ENSG00000259372	ENSG00000259372	ENSG00000259372
AC092611.1	ENSG00000251455	ENSG00000251455
LINC00638	ENSG00000258701	196872
AL049651.1	ENSG00000230492	ENSG00000230492
AMD1P4	ENSG00000215124	ENSG00000215124
AL590822.2	ENSG00000271806	ENSG00000271806
ATP1A1	ENSG00000163399	476
ELP6	ENSG00000163832	54859
AC090912.1	ENSG00000265943	ENSG00000265943
FNIP2	ENSG00000052795	57600
MRPS6	ENSG00000243927	64968
ADAM32	ENSG00000197140	203102
PAPSS2	ENSG00000198682	9060
PROSER1	ENSG00000120685	80209
RORA	ENSG00000069667	6095
MYO5A	ENSG00000197535	4644
SKI	ENSG00000157933	6497
MROH6	ENSG00000204839	642475
CENPU	ENSG00000151725	79682
C6orf136	ENSG00000204564	221545
SBNO2	ENSG00000064932	22904
CERKL	ENSG00000188452	375298
STIM2	ENSG00000109689	57620
CDC40	ENSG00000168438	51362
RPS8P10	ENSG00000223877	ENSG00000223877
SIPA1L3	ENSG00000105738	23094
PPP1CB	ENSG00000213639	5500
DNAJB2	ENSG00000135924	3300
NRL	ENSG00000129535	4901
TPTEP1	ENSG00000100181	387590
MRPL46	ENSG00000259494	26589
CDC7	ENSG00000097046	8317
EHBP1L1	ENSG00000173442	254102
ZNF510	ENSG00000081386	22869
RANBP3	ENSG00000031823	8498
ENSG00000203849	ENSG00000203849	ENSG00000203849
SVIP	ENSG00000198168	258010
RPL7AP6	ENSG00000242071	ENSG00000242071
GGA1	ENSG00000100083	26088
CNTNAP3B	ENSG00000154529	728577
AC090630.1	ENSG00000257239	ENSG00000257239
LINC01772	ENSG00000226029	107984921
ANXA6	ENSG00000197043	309
RN7SL14P	ENSG00000266720	ENSG00000266720
NUMA1	ENSG00000137497	4926
SMG1P6	ENSG00000254634	ENSG00000254634
ENSG00000236850	ENSG00000236850	ENSG00000236850
SPIB	ENSG00000269404	6689
RPS6P25	ENSG00000240616	ENSG00000240616
RN7SL652P	ENSG00000265559	ENSG00000265559
LINC01827	ENSG00000234919	105373818
ZNF677	ENSG00000197928	342926
LINC01531	ENSG00000205786	100128682
AP002812.2	ENSG00000254459	ENSG00000254459
AC104758.5	ENSG00000261403	ENSG00000261403
ENSG00000236361	ENSG00000236361	ENSG00000236361
AC036214.2	ENSG00000272518	ENSG00000272518
TOP2A	ENSG00000131747	7153
AL162311.3	ENSG00000258938	ENSG00000258938
ENSG00000242569	ENSG00000242569	ENSG00000242569
AC121758.1	ENSG00000258679	ENSG00000258679
IGHV6-1	ENSG00000211933	ENSG00000211933
LINC02506	ENSG00000251129	102723828
ZNF490	ENSG00000188033	57474
AC013448.1	ENSG00000231189	ENSG00000231189
ADO	ENSG00000181915	84890
MPV17L	ENSG00000156968	255027
SFTPD-AS1	ENSG00000273372	ENSG00000273372
SMYD3-IT1	ENSG00000230184	ENSG00000230184
RPL30P11	ENSG00000244573	ENSG00000244573
DAB2	ENSG00000153071	1601
FBXO17	ENSG00000269190	115290
AC004014.1	ENSG00000229603	ENSG00000229603
HCST	ENSG00000126264	10870
RPS25	ENSG00000118181	6230
F2RL3	ENSG00000127533	9002
FMO4	ENSG00000076258	2329
CD40	ENSG00000101017	958
PUM3	ENSG00000080608	9933
PPIAP9	ENSG00000219797	ENSG00000219797
AC073861.1	ENSG00000242299	ENSG00000242299
AC126615.1	ENSG00000237774	ENSG00000237774
AP005131.6	ENSG00000267702	ENSG00000267702
AC019185.2	ENSG00000231896	ENSG00000231896
MX1	ENSG00000157601	4599
C5orf17	ENSG00000248874	439936
IMPG2	ENSG00000081148	50939
TUFM	ENSG00000178952	7284
PLD3	ENSG00000105223	23646
IRF1	ENSG00000125347	3659
LOC100506444	ENSG00000249341	100506444
SMDT1	ENSG00000183172	91689
OTUB1	ENSG00000167770	55611
ACTG1	ENSG00000184009	71
THEMIS2	ENSG00000130775	9473
NDUFB5	ENSG00000136521	4711
DEF6	ENSG00000023892	50619
PQBP1	ENSG00000102103	10084
PRSS23	ENSG00000150687	11098
EIF3L	ENSG00000100129	51386
AL139100.1	ENSG00000217130	ENSG00000217130
AF127577.3	ENSG00000235277	ENSG00000235277
VAC14-AS1	ENSG00000214353	100130894
RN7SL172P	ENSG00000243544	ENSG00000243544
MKRN9P	ENSG00000258128	ENSG00000258128
AC090559.2	ENSG00000270072	ENSG00000270072
ENSG00000263437	ENSG00000263437	ENSG00000263437
AC004817.4	ENSG00000269945	ENSG00000269945
CFL1	ENSG00000172757	1072
ZNF483	ENSG00000173258	158399
ZGLP1	ENSG00000220201	100125288
AC005342.2	ENSG00000256706	ENSG00000256706
LINC02374	ENSG00000249747	ENSG00000249747
AC012213.2	ENSG00000261670	ENSG00000261670
ENSG00000263775	ENSG00000263775	ENSG00000263775
CNTNAP3	ENSG00000106714	79937
STAMBPL1	ENSG00000138134	57559
AC012174.1	ENSG00000260115	ENSG00000260115
RN7SL740P	ENSG00000244294	ENSG00000244294
AC078778.2	ENSG00000258344	ENSG00000258344
FABP3	ENSG00000121769	2170
MCF2L2	ENSG00000053524	23101
RNF39	ENSG00000204618	80352
APC2	ENSG00000115266	10297
DTX2P1	ENSG00000186704	ENSG00000186704
AC087650.1	ENSG00000237888	ENSG00000237888
SLC44A3-AS1	ENSG00000224081	101928079
AC002375.1	ENSG00000257268	ENSG00000257268
IL12A-AS1	ENSG00000244040	101928376
RAB11B-AS1	ENSG00000269386	100507567
AL513477.2	ENSG00000272420	ENSG00000272420
RPS15AP5	ENSG00000223540	ENSG00000223540
RN7SL317P	ENSG00000242668	ENSG00000242668
AC003684.1	ENSG00000228543	ENSG00000228543
OXTR	ENSG00000180914	5021
AC022916.1	ENSG00000266947	ENSG00000266947
BTNL8	ENSG00000113303	79908
ZNF295-AS1	ENSG00000237232	150142
PCAT7	ENSG00000231806	ENSG00000231806
ERICH6	ENSG00000163645	131831
MIR1285-1	ENSG00000221520	100302218
AC090236.2	ENSG00000267504	ENSG00000267504
CDC42-IT1	ENSG00000230068	ENSG00000230068
AC005832.1	ENSG00000256381	ENSG00000256381
AC103564.2	ENSG00000232760	ENSG00000232760
UACA	ENSG00000137831	55075
KBTBD7	ENSG00000120696	84078
AC008875.1	ENSG00000271788	ENSG00000271788
AC244636.2	ENSG00000233139	ENSG00000233139
DMKN	ENSG00000161249	93099
AL096700.1	ENSG00000196564	ENSG00000196564
LOC101927884	ENSG00000231172	101927884
ENSG00000268367	ENSG00000268367	ENSG00000268367
MARC2	ENSG00000117791	54996
MALL	ENSG00000144063	7851
BTG1	ENSG00000133639	694
SEL1L	ENSG00000071537	6400
AC015911.1	ENSG00000242660	ENSG00000242660
AC127024.4	ENSG00000265791	ENSG00000265791
AL133163.3	ENSG00000259017	ENSG00000259017
SEPT7-AS1	ENSG00000228878	ENSG00000228878
AC073046.1	ENSG00000235499	ENSG00000235499
C17orf107	ENSG00000205710	100130311
MIR573	ENSG00000207697	693158
SEMA3B	ENSG00000012171	7869
ASAH2B	ENSG00000204147	653308
ENSG00000264700	ENSG00000264700	ENSG00000264700
AC105219.1	ENSG00000181097	ENSG00000181097
LINC01424	ENSG00000236519	ENSG00000236519
SCARF1	ENSG00000074660	8578
BIN1	ENSG00000136717	274
ZNF214	ENSG00000149050	7761
TPT1P2	ENSG00000228111	ENSG00000228111
PARP11	ENSG00000111224	57097
RPSAP3	ENSG00000242952	ENSG00000242952
F12	ENSG00000131187	2161
AC073063.1	ENSG00000228335	ENSG00000228335
KCNMB1	ENSG00000145936	3779
AC023449.1	ENSG00000223628	ENSG00000223628
EDA2R	ENSG00000131080	60401
STXBP5-AS1	ENSG00000233452	ENSG00000233452
ENSG00000216002	ENSG00000216002	ENSG00000216002
ENSG00000241847	ENSG00000241847	ENSG00000241847
EXO1	ENSG00000174371	9156
AC099513.1	ENSG00000230929	ENSG00000230929
RAET1E	ENSG00000164520	135250
FAM72B	ENSG00000188610	653820
AL683842.1	ENSG00000232334	ENSG00000232334
AC134407.1	ENSG00000266717	ENSG00000266717
ENSG00000269291	ENSG00000269291	ENSG00000269291
RPL10P8	ENSG00000254012	ENSG00000254012
TULP2	ENSG00000104804	7288
MTMR8	ENSG00000102043	55613
AC103843.2	ENSG00000255361	ENSG00000255361
RN7SKP287	ENSG00000252355	ENSG00000252355
AC130469.1	ENSG00000267986	ENSG00000267986
AL353740.1	ENSG00000203434	ENSG00000203434
ENSG00000259472	ENSG00000259472	ENSG00000259472
AC136604.3	ENSG00000250999	ENSG00000250999
FBN1	ENSG00000166147	2200
SNORD62B	ENSG00000231587	692093
AL445307.1	ENSG00000228692	ENSG00000228692
RN7SL718P	ENSG00000264423	ENSG00000264423
ACTG1P9	ENSG00000229349	ENSG00000229349
THEM5	ENSG00000196407	284486
RNA5SP244	ENSG00000212238	ENSG00000212238
SPIN2A	ENSG00000147059	54466
AC044860.1	ENSG00000229212	ENSG00000229212
ENSG00000238091	ENSG00000238091	ENSG00000238091
RNASEH2B-AS1	ENSG00000233672	ENSG00000233672
LINC00654	ENSG00000205181	149837
MIR194-2HG	ENSG00000229719	ENSG00000229719
ENSG00000161583	ENSG00000161583	ENSG00000161583
AC025682.1	ENSG00000263766	ENSG00000263766
LOC105372482	ENSG00000268516	105372482
UBE2SP1	ENSG00000233966	ENSG00000233966
GYG2P1	ENSG00000206159	ENSG00000206159
RN7SL15P	ENSG00000264573	ENSG00000264573
AL022157.1	ENSG00000226310	ENSG00000226310
AC008764.7	ENSG00000269578	ENSG00000269578
AC231981.1	ENSG00000235078	ENSG00000235078
RGS5	ENSG00000232995	8490
HIST1H1D	ENSG00000124575	3007
LINC02280	ENSG00000260792	101929634
ZNF605	ENSG00000196458	100289635
CFL1P5	ENSG00000213830	ENSG00000213830
AC234582.1	ENSG00000231064	ENSG00000231064
RN7SL574P	ENSG00000266075	ENSG00000266075
RNU2-44P	ENSG00000252604	ENSG00000252604
AL513343.1	ENSG00000236035	ENSG00000236035
ZNF841	ENSG00000197608	284371
SNX33	ENSG00000173548	257364
RN7SL268P	ENSG00000244425	ENSG00000244425
AC104233.1	ENSG00000248478	ENSG00000248478
CACNB2	ENSG00000165995	783
THSD1	ENSG00000136114	55901
RPSAP70	ENSG00000250327	ENSG00000250327
ZNF471	ENSG00000196263	57573
SLC9A3	ENSG00000066230	6550
ENSG00000255103	ENSG00000255103	ENSG00000255103
AC091685.2	ENSG00000236976	ENSG00000236976
AL512625.2	ENSG00000229422	ENSG00000229422
C1QC	ENSG00000159189	714
GPRIN1	ENSG00000169258	114787
AC097637.1	ENSG00000173366	ENSG00000173366
AC010761.4	ENSG00000265474	ENSG00000265474
ZNF891	ENSG00000214029	101060200
HSPG2	ENSG00000142798	3339
HSPE1P2	ENSG00000258645	ENSG00000258645
FAM86JP	ENSG00000171084	100125556
AC096887.1	ENSG00000272305	ENSG00000272305
AC004884.1	ENSG00000213361	ENSG00000213361
PTPRVP	ENSG00000243323	148713
C2orf91	ENSG00000205086	400950
CD14	ENSG00000170458	929
AC027117.1	ENSG00000253671	ENSG00000253671
RNU6-1016P	ENSG00000252498	ENSG00000252498
FTH1P12	ENSG00000213362	ENSG00000213362
TRIM74	ENSG00000155428	378108
RNU6-1242P	ENSG00000212354	ENSG00000212354
VSNL1	ENSG00000163032	7447
VIPR1-AS1	ENSG00000232354	ENSG00000232354
PPIAP6	ENSG00000258477	ENSG00000258477
LINC01816	ENSG00000231327	100133985
AC092045.1	ENSG00000239557	ENSG00000239557
DYNC1I1	ENSG00000158560	1780
KLF9	ENSG00000119138	687
AC005072.1	ENSG00000272219	ENSG00000272219
AP003084.1	ENSG00000254783	ENSG00000254783
CYP4F35P	ENSG00000265787	284233
AC091133.5	ENSG00000270781	ENSG00000270781
AC108752.1	ENSG00000240241	ENSG00000240241
LINC01972	ENSG00000230401	105374293
ENSG00000273190	ENSG00000273190	ENSG00000273190
AC080013.1	ENSG00000240207	ENSG00000240207
AL078581.1	ENSG00000233330	ENSG00000233330
FCAR	ENSG00000186431	2204
NAV2	ENSG00000166833	89797
IBA57-AS1	ENSG00000203684	574432
RPL35P5	ENSG00000225573	ENSG00000225573
ENSG00000270041	ENSG00000270041	ENSG00000270041
LINC01732	ENSG00000237292	101928973
ENSG00000263621	ENSG00000263621	ENSG00000263621
IMPDH1P10	ENSG00000232133	ENSG00000232133
PRDM7	ENSG00000126856	11105
AC211433.1	ENSG00000232729	ENSG00000232729
INHBE	ENSG00000139269	83729
LINC00102	ENSG00000230542	100359394
SNORD62A	ENSG00000235284	26786
ENSG00000224804	ENSG00000224804	ENSG00000224804
UTS2B	ENSG00000188958	257313
AC010325.2	ENSG00000268375	ENSG00000268375
ARHGEF10	ENSG00000104728	9639
DGCR9	ENSG00000273032	25787
GNAL	ENSG00000141404	2774
SLX1B	ENSG00000181625	79008
LOC105369236	ENSG00000181625	105369236
CCT8P1	ENSG00000226015	ENSG00000226015
AP003469.3	ENSG00000253737	ENSG00000253737
EID3	ENSG00000255150	493861
SNORD50	ENSG00000202335	ENSG00000202335
MIR877	ENSG00000216101	100126314
LTK	ENSG00000062524	4058
NT5C1B	ENSG00000185013	93034
ENSG00000251554	ENSG00000251554	ENSG00000251554
ENSG00000215705	ENSG00000215705	ENSG00000215705
ENSG00000228537	ENSG00000228537	ENSG00000228537
IGLL5	ENSG00000254709	100423062
NDUFA3	ENSG00000170906	4696
AC004023.1	ENSG00000261462	ENSG00000261462
IGKV1-13	ENSG00000253497	ENSG00000253497
TPTE2P2	ENSG00000272281	ENSG00000272281
FOXG1-AS1	ENSG00000257126	ENSG00000257126
IGLV6-57	ENSG00000211640	ENSG00000211640
BSN-AS2	ENSG00000226913	100132677
RPL8	ENSG00000161016	6132
SEPHS1P6	ENSG00000213938	ENSG00000213938
FANCB	ENSG00000181544	2187
ZNF284	ENSG00000186026	342909
ZBTB2	ENSG00000181472	57621
SHISA4	ENSG00000198892	149345
ENSG00000178972	ENSG00000178972	ENSG00000178972
TEX22	ENSG00000226174	647310
AC012447.1	ENSG00000265451	ENSG00000265451
EEF1A1P30	ENSG00000237757	ENSG00000237757
TTC30A	ENSG00000197557	92104
DLGAP3	ENSG00000116544	58512
LYZ	ENSG00000090382	4069
AC026191.1	ENSG00000254485	ENSG00000254485
PAEP	ENSG00000122133	5047
TNRC6C-AS1	ENSG00000204282	100131096
AC007192.1	ENSG00000268173	ENSG00000268173
AC093323.1	ENSG00000170846	ENSG00000170846
C3orf33	ENSG00000174928	285315
BIN2P1	ENSG00000234568	ENSG00000234568
FMO5	ENSG00000131781	2330
AL390760.1	ENSG00000203364	ENSG00000203364
AC012615.3	ENSG00000267125	ENSG00000267125
LOC100287792	ENSG00000204117	100287792
RHOXF1-AS1	ENSG00000258545	101928969
AC105020.2	ENSG00000260206	ENSG00000260206
AC098850.2	ENSG00000264673	ENSG00000264673
AL359091.4	ENSG00000273186	ENSG00000273186
AL133163.1	ENSG00000240023	ENSG00000240023
HIST2H2BF	ENSG00000203814	440689
LINC00992	ENSG00000248663	ENSG00000248663
PTMAP5	ENSG00000214182	ENSG00000214182
ERICH1	ENSG00000104714	157697
SPRY3	ENSG00000168939	10251
FAM155A-IT1	ENSG00000227248	ENSG00000227248
HSPA7	ENSG00000225217	ENSG00000225217
PACSIN3	ENSG00000165912	29763
MTMR9LP	ENSG00000220785	ENSG00000220785
NLGN3	ENSG00000196338	54413
CASTOR1	ENSG00000239282	652968
AP001011.1	ENSG00000266049	ENSG00000266049
ENPP4	ENSG00000001561	22875
AC103858.1	ENSG00000271725	ENSG00000271725
ENSG00000257583	ENSG00000257583	ENSG00000257583
AP001595.1	ENSG00000229025	ENSG00000229025
ENSG00000270081	ENSG00000270081	ENSG00000270081
TSIX	ENSG00000270641	9383
AC025423.2	ENSG00000256664	ENSG00000256664
SDR42E1	ENSG00000184860	93517
ENSG00000221743	ENSG00000221743	ENSG00000221743
RNF157	ENSG00000141576	114804
AL390208.1	ENSG00000271730	ENSG00000271730
CKAP2L	ENSG00000169607	150468
AL137247.1	ENSG00000270008	ENSG00000270008
HAS3	ENSG00000103044	3038
ZNF708	ENSG00000182141	7562
PITPNC1	ENSG00000154217	26207
ARMH1	ENSG00000198520	339541
ENSG00000264884	ENSG00000264884	ENSG00000264884
AC068282.1	ENSG00000236682	ENSG00000236682
ENSG00000212673	ENSG00000212673	ENSG00000212673
ENSG00000263855	ENSG00000263855	ENSG00000263855
PDZK1	ENSG00000174827	5174
BMS1P4	ENSG00000271816	729096
AC034102.6	ENSG00000258317	ENSG00000258317
ABCA6	ENSG00000154262	23460
AC092652.2	ENSG00000257277	ENSG00000257277
PLA2G2D	ENSG00000117215	26279
RWDD4P2	ENSG00000175741	ENSG00000175741
HIPK1-AS1	ENSG00000235527	101928846
ZFP3	ENSG00000180787	124961
DNAAF1	ENSG00000154099	123872
AF121898.1	ENSG00000253500	ENSG00000253500
AC103957.1	ENSG00000253505	ENSG00000253505
AL353194.1	ENSG00000229539	ENSG00000229539
AC048341.2	ENSG00000257354	ENSG00000257354
SLC25A43	ENSG00000077713	203427
AC022167.2	ENSG00000260276	ENSG00000260276
AC005077.2	ENSG00000224273	ENSG00000224273
AC018645.2	ENSG00000273014	ENSG00000273014
ENSG00000247844	ENSG00000247844	ENSG00000247844
PERM1	ENSG00000187642	84808
ABCA2	ENSG00000107331	20
RPL13AP23	ENSG00000242990	ENSG00000242990
AL845552.1	ENSG00000258500	ENSG00000258500
ENSG00000268402	ENSG00000268402	ENSG00000268402
SENP8	ENSG00000166192	123228
SMOC1	ENSG00000198732	64093
SAMD12	ENSG00000177570	401474
AC073508.2	ENSG00000264058	ENSG00000264058
AP005717.1	ENSG00000245330	ENSG00000245330
CCDC150	ENSG00000144395	284992
DACT3	ENSG00000197380	147906
EEF1A1P4	ENSG00000245205	ENSG00000245205
CASC6	ENSG00000224944	ENSG00000224944
MGMT	ENSG00000170430	4255
AL590396.1	ENSG00000243781	ENSG00000243781
A1BG	ENSG00000121410	1
FTLP3	ENSG00000226608	ENSG00000226608
ENG	ENSG00000106991	2022
AC133539.1	ENSG00000260603	ENSG00000260603
SEMA4F	ENSG00000135622	10505
ENSG00000184348	ENSG00000184348	ENSG00000184348
AC009229.2	ENSG00000229160	ENSG00000229160
AC008840.1	ENSG00000250240	ENSG00000250240
SUMO2P3	ENSG00000224971	ENSG00000224971
AC102953.2	ENSG00000273230	ENSG00000273230
AC091563.1	ENSG00000254343	ENSG00000254343
HMGB1P3	ENSG00000250011	ENSG00000250011
LOC101927359	ENSG00000250241	101927359
AL357079.1	ENSG00000237950	ENSG00000237950
DGCR2	ENSG00000070413	9993
C3orf14	ENSG00000114405	57415
FBLN1	ENSG00000077942	2192
AC124068.1	ENSG00000259948	ENSG00000259948
IPO5P1	ENSG00000269837	ENSG00000269837
RPS20P35	ENSG00000244086	ENSG00000244086
KNL1	ENSG00000137812	57082
SNAPC1	ENSG00000023608	6617
SNORA81	ENSG00000238390	ENSG00000238390
ENSG00000263737	ENSG00000263737	ENSG00000263737
AC025423.4	ENSG00000257181	ENSG00000257181
ENSG00000265343	ENSG00000265343	ENSG00000265343
GP1BA	ENSG00000185245	2811
ENSG00000196355	ENSG00000196355	ENSG00000196355
FYN	ENSG00000010810	2534
SEC24B-AS1	ENSG00000247950	100533182
LOC100288175	ENSG00000217801	100288175
ACOT11	ENSG00000162390	26027
AC020910.1	ENSG00000268683	ENSG00000268683
LINC01814	ENSG00000236008	101929567
ACKR2	ENSG00000144648	1238
GNB3	ENSG00000111664	2784
ENSG00000212734	ENSG00000212734	ENSG00000212734
RPS2P32	ENSG00000232818	ENSG00000232818
AC092066.1	ENSG00000236807	ENSG00000236807
RN7SL371P	ENSG00000266210	ENSG00000266210
AF127936.2	ENSG00000232884	ENSG00000232884
AC078846.1	ENSG00000273329	ENSG00000273329
TEDC2	ENSG00000162062	80178
CES3	ENSG00000172828	23491
AC012645.1	ENSG00000250616	ENSG00000250616
NOSTRIN	ENSG00000163072	115677
RN7SL4P	ENSG00000263740	ENSG00000263740
AP001453.2	ENSG00000256940	ENSG00000256940
IGLJ2	ENSG00000211676	ENSG00000211676
AC008581.1	ENSG00000250615	ENSG00000250615
BAG3	ENSG00000151929	9531
LTA	ENSG00000226979	4049
AC090114.2	ENSG00000273270	ENSG00000273270
HNRNPA1P70	ENSG00000236946	ENSG00000236946
CDH12P2	ENSG00000249230	ENSG00000249230
RAB37	ENSG00000172794	326624
LY86	ENSG00000112799	9450
DUSP11	ENSG00000144048	8446
ANAPC10P1	ENSG00000213735	ENSG00000213735
HSP90AA6P	ENSG00000181359	ENSG00000181359
LOC284191	ENSG00000230709	284191
ENSG00000265062	ENSG00000265062	ENSG00000265062
RP9P	ENSG00000205763	441212
LINC01192	ENSG00000241369	647107
AC005954.2	ENSG00000267205	ENSG00000267205
CBL	ENSG00000110395	867
PARGP1	ENSG00000239883	ENSG00000239883
AC004987.2	ENSG00000233225	ENSG00000233225
FAM57B	ENSG00000149926	83723
AC027307.2	ENSG00000267317	ENSG00000267317
CDK1	ENSG00000170312	983
SYP	ENSG00000102003	6855
DUSP4	ENSG00000120875	1846
AP000845.1	ENSG00000263884	ENSG00000263884
ENSG00000268544	ENSG00000268544	ENSG00000268544
ENSG00000264205	ENSG00000264205	ENSG00000264205
AL355802.2	ENSG00000271754	ENSG00000271754
ENSG00000266058	ENSG00000266058	ENSG00000266058
TAS2R14	ENSG00000212127	50840
RASL10A	ENSG00000100276	10633
PTGS2	ENSG00000073756	5743
HECTD2	ENSG00000165338	143279
AL031432.3	ENSG00000272432	ENSG00000272432
AC104066.1	ENSG00000248375	ENSG00000248375
ZFP69	ENSG00000187815	339559
DCC	ENSG00000187323	1630
NME2P1	ENSG00000123009	ENSG00000123009
ENSG00000270169	ENSG00000270169	ENSG00000270169
ENSG00000203424	ENSG00000203424	ENSG00000203424
SNORC	ENSG00000182600	389084
MANSC1	ENSG00000111261	54682
AC079305.1	ENSG00000222043	ENSG00000222043
